high_shear_rep1	high_shear_rep2	high_shear_rep3	high_shear_rep4	low_shear_rep1	low_shear_rep2	low_shear_rep3	low_shear_rep4
ENSGALG00010000711	5.33714788440528	5.56071736090776	5.65991181814122	5.27142019801437	4.89989246043772	4.60471585937285	5.08211734409209	4.66762972138083
ENSGALG00010000717	6.96285862452356	6.6238351840058	6.64252938329502	6.43226076232659	6.79993392498379	6.79770127134333	7.38178667497637	7.15962198635942
ENSGALG00010000720	5.73090916642094	5.62976627971738	5.65991181814122	5.68880139018994	5.69499589713107	5.80786818157522	5.73180378598708	5.73911899660928
ENSGALG00010000724	2.95231480062252	3.97308344495245	2.61138137131623	3.74074420630333	3.97167729059515	3.15894557433992	3.78473573795166	3.83557425422472
ENSGALG00010000729	4.11198948604264	4.15065094318108	3.92700634789555	3.42273629929519	4.14670823492308	3.03001376887651	3.88463181582043	3.5506070935557
ENSGALG00010000734	-1.84826276498509	-1.84826276498509	-0.968455355914254	-0.8831491731573	-1.84826276498509	0.373897576402269	-0.37371376382626	-1.22346997691006
ENSGALG00010000757	-1.84826276498509	-0.902833209971187	-0.968455355914254	-1.84826276498509	-1.84826276498509	-1.84826276498508	0.139038437216578	-1.84826276498508
ENSGALG00010000777	5.49825107257963	5.26522609691964	5.67316647614539	5.19014883112091	5.39755240547549	6.56542317087284	5.82276378280417	5.99546675046612
ENSGALG00010000784	4.54908150424126	4.42553992688226	4.38730104509066	4.19067314816388	3.95729108961041	4.24684319729673	4.63322007919772	4.52399967113249
ENSGALG00010000785	3.31883035544004	3.38315452716715	3.42993888145683	3.34976557823662	3.72227483508139	3.52068281074752	3.58142792966658	2.93610916389361
ENSGALG00010000788	7.71400353878087	7.71124897061743	7.20691643209466	7.55592155974625	7.54029446848232	7.33218035002128	7.68516530692715	7.4539959543031
ENSGALG00010000791	0.940658851555223	0.644567425150722	0.53042868294497	0.997611009360376	0.451445205773827	-0.600506254200078	-0.37371376382626	0.834286568370389
ENSGALG00010000795	0.230433385122822	0.758580241314939	1.24954466121695	0.898760069086742	0.451445205773827	0.950226099486932	0.139038437216578	1.0593724601715
ENSGALG00010000796	-0.795324625722261	-1.29945025666058	-0.215843727273292	-0.8831491731573	-1.84826276498509	-1.84826276498508	-1.17652628674874	-1.84826276498508
ENSGALG00010000800	6.50333696826719	6.25029493740281	6.2871040016128	6.34577787929702	6.34662468007279	7.15671608548791	6.54422164545668	7.34735177757555
ENSGALG00010000810	5.62145351737749	5.58023144879452	5.41367727090555	5.71082207284217	5.68629928100743	5.48608942205111	5.700163117769	5.48649180164569
ENSGALG00010000812	5.27177280234062	5.33580822340673	4.98459480620631	5.09846708250524	5.22214536342953	5.7913869251194	5.46221482835901	5.47188679300335
ENSGALG00010000816	5.0296099675134	4.61152367270043	4.60349816115994	4.89552442745811	4.62747577265044	5.36211519217578	5.02488455313237	5.77921369510197
ENSGALG00010000818	0.823880696421724	2.17632961730669	1.82549884899487	1.48029564889918	1.20252627428408	2.86340683181997	1.54238113207989	2.26107105357719
ENSGALG00010000820	3.77711852054184	2.95119259963655	3.60613068696205	3.44041652861854	4.51410500762283	3.61360996663089	5.02488455313237	3.95240222037391
ENSGALG00010000823	2.9798685477112	2.36815186445113	2.30575270109293	3.01420886743929	3.78878244589195	3.38666615850228	3.14429894154823	3.12219532790611
ENSGALG00010000843	3.25260046195064	3.38315452716715	3.60613068696205	3.57456084927698	3.70515758247801	3.48832759953226	3.69585682402075	3.80482677044553
ENSGALG00010000859	1.41447214091993	1.44374454571659	1.0198258396224	1.54709790247034	0.875321047710539	1.36092715567586	2.02345783597345	1.84369179653699
ENSGALG00010000864	5.07503027111237	5.36760090057472	4.91377496287721	5.5368395363787	5.32657265431659	5.23625241799848	5.22871907760412	4.62426192548532
ENSGALG00010000870	0.696810828525329	1.51036162424355	1.77721232056302	1.893616630317	1.20252627428408	1.04225261447349	0.944570086148957	1.34232681884446
ENSGALG00010000901	-1.84826276498509	-0.902833209971187	-0.215843727273292	-1.84826276498509	-1.84826276498509	-1.84826276498508	-0.37371376382626	-1.84826276498508
ENSGALG00010000935	-1.84826276498509	-0.902833209971187	-0.968455355914254	-1.28646388576436	-1.84826276498509	-0.345953546406941	-1.17652628674874	-1.22346997691006
ENSGALG00010000936	0.557458352128506	-0.1195126600748	0.130098997926984	-1.84826276498509	-0.763502417112195	-1.30403507626092	-1.17652628674874	-1.22346997691006
ENSGALG00010000963	-0.795324625722261	-1.84826276498509	-0.671815863180859	-0.8831491731573	-0.425203852136823	-0.600506254200078	-0.71998363049568	-0.455413424743092
ENSGALG00010001055	-0.463038075147805	-1.84826276498509	-1.34230598136404	-1.84826276498509	-0.425203852136823	-0.600506254200078	-1.17652628674874	-1.84826276498508
ENSGALG00010001059	2.00317510641531	2.21678879106773	2.27130323981721	3.14934849145355	1.94789533368144	2.49130644507265	2.02345783597345	1.50418768772505
ENSGALG00010001065	-0.795324625722261	-0.902833209971187	1.5080819416536	0.553634567982888	-0.763502417112195	0.0584112238324904	-1.17652628674874	0.834286568370389
ENSGALG00010001085	3.77711852054184	2.47208650604207	3.98129815046112	2.72784896274761	3.39942793746955	3.89852140197046	3.73206805452617	2.84837151711787
ENSGALG00010001088	-1.22779322515687	-0.592071347233871	-1.34230598136404	-0.568300746771756	-1.20624371979633	-1.84826276498508	-1.84826276498509	-0.788922252084481
ENSGALG00010001194	2.29403949177108	2.4382668110889	2.55521707331305	2.86508973459115	3.11833493701118	3.13824131332282	3.03259322899382	2.78676782167758
ENSGALG00010001196	6.80236570583904	6.48786545760738	6.25661022962655	6.63588124597968	6.45299098911419	6.82062292586619	6.57445280658524	6.22472580156752
ENSGALG00010001198	6.60857950157055	6.34915471651513	5.87879003793344	6.19510336363111	6.11998725385223	6.35947394333071	6.72802906226033	6.53449721375137
ENSGALG00010001200	5.94525153669145	5.63350712507355	5.59871108030337	5.44786077310953	5.44987062197269	6.42504417091257	5.56114446167674	6.19242608028194
ENSGALG00010001202	1.63846880622943	1.51036162424355	1.77721232056302	2.78432133268599	2.21302297978195	2.28074175154059	0.944570086148957	2.26107105357719
ENSGALG00010001214	3.85358201326868	4.40817462666366	4.4731636546171	4.52487525156849	4.18425313460539	3.64330151506241	3.58142792966658	4.02088981910236
ENSGALG00010001219	-0.463038075147805	-0.902833209971187	-0.215843727273292	-0.8831491731573	-0.425203852136823	1.28761214292312	-0.71998363049568	1.78188360135625
ENSGALG00010001220	5.69395296127202	5.45897968904815	5.3614117332286	5.02420283098779	5.57292277836514	6.00084823591728	5.37901899365881	6.18049909461935
ENSGALG00010001222	1.49306589773781	1.74976248068317	0.746471563317708	1.61094336410088	1.54799216957867	1.43069592628813	2.47190807692228	2.21504090829787
ENSGALG00010001224	6.19490999623169	6.44167245340706	5.94312175528695	5.46954929754484	6.20159092967544	5.71304959278479	5.95885986473108	6.14104101158962
ENSGALG00010001228	3.92619607224892	3.70095135643523	3.75067777757269	3.82391940048948	4.35858560676361	3.9588020513023	4.38293247001906	3.82028242412519
ENSGALG00010001232	3.88306764672613	4.22195472475615	3.76312769741301	3.63722822042529	4.02782906423488	4.08316914213556	3.90062879851729	3.85070569727545
ENSGALG00010001234	6.65418591665923	6.81714761837737	5.93489156580281	6.48432574505814	5.91937862043452	7.28704479511546	6.13484716965454	5.87112518705955
ENSGALG00010001251	3.20669539713248	3.62782149878335	3.33305628637564	3.63722822042529	3.46190637773466	3.56789446465458	3.49976691461686	3.37335472819361
ENSGALG00010001264	6.34548371005827	6.18806372512921	5.49056118675523	5.93628093836965	5.57292277836514	5.34414765354284	6.33940950585408	5.89686562411448
ENSGALG00010001298	1.77054962874155	2.2944544857983	3.11727529402917	1.99280875508211	2.16375269241812	3.15894557433992	1.90156891643475	3.17123373730202
ENSGALG00010001305	0.230433385122822	0.385333520629478	0.843459575056999	0.553634567982888	-0.151358096140551	-1.30403507626092	-0.37371376382626	-1.84826276498508
ENSGALG00010001320	1.04868821200238	1.44374454571659	1.44766022612896	0.417434830820493	0.277080644938153	2.07825143126794	0.139038437216578	1.34232681884446
ENSGALG00010001349	5.06219829742853	4.63410618791476	4.67771314851282	4.57375713014161	4.66336911274999	4.34044677080091	5.01021442157279	4.86683372651177
ENSGALG00010001367	0.403192204937706	0.235858544049667	-0.215843727273292	0.898760069086742	0.992830216165665	0.746437338166622	1.06302252505029	0.412944679645569
ENSGALG00010001381	5.68978766415443	5.72049511250979	5.50915859887858	5.55723995502829	5.64201202449873	5.33962058572824	5.29073032236252	5.38100854746452
ENSGALG00010001407	1.41447214091993	1.90638849194876	1.44766022612896	1.33662787337617	1.20252627428408	1.73642897216554	2.18891902811114	0.707039037704942
ENSGALG00010001427	3.44281240290666	2.47208650604207	2.74291187577235	2.75636144701205	3.09223819702632	3.2772942474717	2.94274450586122	4.06047420319938
ENSGALG00010001443	2.9798685477112	3.40082176107213	2.74291187577235	2.96619490631936	3.24217498757852	3.84841507495112	3.00326102380094	3.6228969498598
ENSGALG00010001448	0.0341366281333562	1.51036162424355	0.408923916104289	0.898760069086742	0.875321047710539	0.746437338166622	1.27422103136335	0.412944679645569
