Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2554344_1_liver_rep1	(36, 7066.0)	(37, 10799.0)	(38, 9377.0)	(39, 13699.0)	(40, 26324.0)	(41, 57369.0)	(42, 32403.0)	(43, 76110.0)	(44, 184506.0)	(45, 102342.0)	(46, 265479.0)	(47, 649462.0)	(48, 276908.0)	(49, 908650.0)	(50, 1820897.0)	(51, 3355737.0)
SRR2554345_1_liver_rep2	(36, 8282.0)	(37, 13397.0)	(38, 11330.0)	(39, 16229.0)	(40, 32653.0)	(41, 72173.0)	(42, 39990.0)	(43, 98229.0)	(44, 234662.0)	(45, 130149.0)	(46, 344869.0)	(47, 858128.0)	(48, 352949.0)	(49, 1172415.0)	(50, 2354306.0)	(51, 4333489.0)
SRR2554362_1_muscle_rep1	(36, 7664.0)	(37, 12424.0)	(38, 10529.0)	(39, 14725.0)	(40, 30210.0)	(41, 64078.0)	(42, 37571.0)	(43, 88222.0)	(44, 215848.0)	(45, 119576.0)	(46, 309983.0)	(47, 752275.0)	(48, 320524.0)	(49, 1038009.0)	(50, 2094061.0)	(51, 3857963.0)
SRR2554363_1_muscle_rep2	(36, 7933.0)	(37, 12152.0)	(38, 10493.0)	(39, 15115.0)	(40, 29838.0)	(41, 64224.0)	(42, 36759.0)	(43, 87925.0)	(44, 210384.0)	(45, 116611.0)	(46, 308142.0)	(47, 756264.0)	(48, 314856.0)	(49, 1030645.0)	(50, 2081491.0)	(51, 3829514.0)
SRR2554364_1_brain_rep1	(36, 9124.0)	(37, 14107.0)	(38, 12136.0)	(39, 17198.0)	(40, 33440.0)	(41, 71160.0)	(42, 41515.0)	(43, 95728.0)	(44, 229064.0)	(45, 128941.0)	(46, 335154.0)	(47, 819038.0)	(48, 344287.0)	(49, 1132248.0)	(50, 2276162.0)	(51, 4180914.0)
SRR2554365_1_brain_rep2	(36, 10047.0)	(37, 15359.0)	(38, 13402.0)	(39, 19363.0)	(40, 36709.0)	(41, 76934.0)	(42, 45635.0)	(43, 104311.0)	(44, 251165.0)	(45, 141586.0)	(46, 364592.0)	(47, 888775.0)	(48, 378783.0)	(49, 1242997.0)	(50, 2468516.0)	(51, 4538524.0)
SRR2554366_1_kidney_rep1	(36, 9994.0)	(37, 15279.0)	(38, 13490.0)	(39, 18557.0)	(40, 36502.0)	(41, 76178.0)	(42, 44439.0)	(43, 102250.0)	(44, 244364.0)	(45, 138285.0)	(46, 357155.0)	(47, 873206.0)	(48, 365740.0)	(49, 1200363.0)	(50, 2454115.0)	(51, 4489843.0)
SRR2554367_1_kidney_rep2	(36, 9016.0)	(37, 14106.0)	(38, 11997.0)	(39, 16905.0)	(40, 32596.0)	(41, 69163.0)	(42, 40402.0)	(43, 93218.0)	(44, 223742.0)	(45, 126766.0)	(46, 325816.0)	(47, 798030.0)	(48, 336479.0)	(49, 1111422.0)	(50, 2225705.0)	(51, 4092769.0)
