Module	Section	Sample Name	Source
FastQC	all_sections	SRR2554364_1_brain_rep1	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554364_1_brain_rep1_fastqc.zip
FastQC	all_sections	SRR2554345_1_liver_rep2	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554345_1_liver_rep2_fastqc.zip
FastQC	all_sections	SRR2554363_1_muscle_rep2	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554363_1_muscle_rep2_fastqc.zip
FastQC	all_sections	SRR2554367_1_kidney_rep2	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554367_1_kidney_rep2_fastqc.zip
FastQC	all_sections	SRR2554344_1_liver_rep1	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554344_1_liver_rep1_fastqc.zip
FastQC	all_sections	SRR2554362_1_muscle_rep1	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554362_1_muscle_rep1_fastqc.zip
FastQC	all_sections	SRR2554366_1_kidney_rep1	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554366_1_kidney_rep1_fastqc.zip
FastQC	all_sections	SRR2554365_1_brain_rep2	/home/nguyeho3/Documents/RNA_seq_test_for_github_repo/chicken_atlas/results/qc/fastqc/SRR2554365_1_brain_rep2_fastqc.zip
