Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR2554344_1_liver_rep1	(0.0, 0.0007105937708972737)	(1.0, 0.0005816807416636975)	(2.0, 0.00045276771243012127)	(3.0, 0.0005187963371595139)	(4.0, 0.0006854400090956003)	(5.0, 0.001075323317021538)	(6.0, 0.0015532447912533327)	(7.0, 0.0021978099374212134)	(8.0, 0.0027794906790849115)	(9.0, 0.003540391973585532)	(10.0, 0.004480513820923075)	(11.0, 0.00579479787506051)	(12.0, 0.007304023583160914)	(13.0, 0.010460820689270928)	(14.0, 0.014331355786503422)	(15.0, 0.019516174937873353)	(16.0, 0.02519149244437591)	(17.0, 0.03578122616288042)	(18.0, 0.048232338254708754)	(19.0, 0.06766676346672668)	(20.0, 0.08749107198667053)	(21.0, 0.11104128147348725)	(22.0, 0.13699053099213856)	(23.0, 0.17847851686377364)	(24.0, 0.2257833101520457)	(25.0, 0.2758801710003035)	(26.0, 0.3604565508382051)	(27.0, 0.433883525757515)	(28.0, 0.5215443856363469)	(29.0, 0.6220273755935816)	(30.0, 0.7401714505558165)	(31.0, 0.8631198940221707)	(32.0, 1.0034810290957337)	(33.0, 1.1566234193847718)	(34.0, 1.3292316770880799)	(35.0, 1.5092917367251335)	(36.0, 1.7036139793037364)	(37.0, 1.9031996465393393)	(38.0, 2.1014553086196783)	(39.0, 2.3348664970380817)	(40.0, 2.561589929037465)	(41.0, 2.7182632786394127)	(42.0, 2.8578603681982497)	(43.0, 3.0283588541304427)	(44.0, 3.2290198446830667)	(45.0, 3.417327193970845)	(46.0, 3.5480261402923396)	(47.0, 3.68654476231393)	(48.0, 3.837275535690232)	(49.0, 3.950681270773077)	(50.0, 3.9381924280385463)	(51.0, 3.8742106906757647)	(52.0, 3.765222585009339)	(53.0, 3.63446704272379)	(54.0, 3.4725868644288957)	(55.0, 3.315482756656094)	(56.0, 3.1717541617213323)	(57.0, 3.012600022361694)	(58.0, 2.8094236556289025)	(59.0, 2.609152548384204)	(60.0, 2.4061113831210963)	(61.0, 2.1457636600333263)	(62.0, 1.8852933123567728)	(63.0, 1.6503886193313955)	(64.0, 1.4297586861284675)	(65.0, 1.214983290984879)	(66.0, 0.9936647735526305)	(67.0, 0.7950506703666174)	(68.0, 0.6594058656308682)	(69.0, 0.5427678721565087)	(70.0, 0.44741939382704043)	(71.0, 0.3590730939391131)	(72.0, 0.2878093425347471)	(73.0, 0.22910675093009178)	(74.0, 0.18041221230227728)	(75.0, 0.12933749896397942)	(76.0, 0.10036036536845167)	(77.0, 0.07644542633551069)	(78.0, 0.05453649980625315)	(79.0, 0.03944424272524911)	(80.0, 0.025329838134285118)	(81.0, 0.018887330892831518)	(82.0, 0.013111398339122263)	(83.0, 0.009259728563241022)	(84.0, 0.006263286688616678)	(85.0, 0.00446164849957182)	(86.0, 0.00266944297120259)	(87.0, 0.0015469563508029142)	(88.0, 0.000804920377653549)	(89.0, 0.0004873541349074222)	(90.0, 0.0002421049573411065)	(91.0, 0.00011633614833273949)	(92.0, 5.0307523603346815e-05)	(93.0, 4.087486292771928e-05)	(94.0, 2.829798202688258e-05)	(95.0, 1.8865321351255054e-05)	(96.0, 9.432660675627527e-06)	(97.0, 3.144220225209176e-06)	(98.0, 0.0)	(99.0, 3.144220225209176e-06)	(100.0, 6.288440450418352e-06)
SRR2554345_1_liver_rep2	(0.0, 0.00024826414077861917)	(1.0, 0.00027503772458807807)	(2.0, 0.000301811308397537)	(3.0, 0.0003967358328128914)	(4.0, 0.0005281697896956897)	(5.0, 0.0006620377087429843)	(6.0, 0.0008105094007772566)	(7.0, 0.0010100942982659504)	(8.0, 0.0012242829687416218)	(9.0, 0.001793830115233748)	(10.0, 0.0025653961213790645)	(11.0, 0.0035657545709870298)	(12.0, 0.00469998093964229)	(13.0, 0.006644716709074807)	(14.0, 0.008986188311320214)	(15.0, 0.01253490514715577)	(16.0, 0.016689678561950895)	(17.0, 0.024398036736910572)	(18.0, 0.032994791101911385)	(19.0, 0.047722696159278294)	(20.0, 0.06332926155802834)	(21.0, 0.08345326073408348)	(22.0, 0.10624731640459101)	(23.0, 0.13979705088000755)	(24.0, 0.17795670969498)	(25.0, 0.22087963246587164)	(26.0, 0.2958042897755602)	(27.0, 0.3626579285477792)	(28.0, 0.4434411327874102)	(29.0, 0.5378593930725494)	(30.0, 0.6497461998122783)	(31.0, 0.7706873458039332)	(32.0, 0.9134757361841066)	(33.0, 1.0689450694413056)	(34.0, 1.261116118176944)	(35.0, 1.4663697135467495)	(36.0, 1.678803497301819)	(37.0, 1.8891319037845995)	(38.0, 2.0977029895846133)	(39.0, 2.3499904698211447)	(40.0, 2.6032271953018298)	(41.0, 2.7941398855984234)	(42.0, 2.9662696898715994)	(43.0, 3.142741682646237)	(44.0, 3.3134135435828793)	(45.0, 3.4725971031030998)	(46.0, 3.5976613810014118)	(47.0, 3.7352702998955363)	(48.0, 3.8656576530476014)	(49.0, 3.9765392334133938)	(50.0, 4.01014251505643)	(51.0, 3.977629648463088)	(52.0, 3.8648374077981664)	(53.0, 3.730197922744727)	(54.0, 3.5542808733435947)	(55.0, 3.372444427958407)	(56.0, 3.203921755613015)	(57.0, 3.0256096874420186)	(58.0, 2.8103038283328434)	(59.0, 2.6021757236467673)	(60.0, 2.4008237696266495)	(61.0, 2.149071761066307)	(62.0, 1.8953652808878743)	(63.0, 1.656255271809926)	(64.0, 1.420372696562099)	(65.0, 1.1961049887632487)	(66.0, 0.9773234316831726)	(67.0, 0.7801724963589751)	(68.0, 0.6419696906967126)	(69.0, 0.5280772991334389)	(70.0, 0.44287645356524713)	(71.0, 0.36037973996181066)	(72.0, 0.28735113917826466)	(73.0, 0.22576702849218017)	(74.0, 0.17667401163429047)	(75.0, 0.12922148527527128)	(76.0, 0.10349207123438123)	(77.0, 0.07872407224846723)	(78.0, 0.0557352996048)	(79.0, 0.04058631909297524)	(80.0, 0.026264885717079207)	(81.0, 0.01966641428912983)	(82.0, 0.014148622062216794)	(83.0, 0.010485509004649915)	(84.0, 0.007348131774614228)	(85.0, 0.005018829983191301)	(86.0, 0.002679792343110389)	(87.0, 0.0015893772934160617)	(88.0, 0.0009273395846730773)	(89.0, 0.0005354716761891786)	(90.0, 0.00024826414077861917)	(91.0, 0.00011926414606031703)	(92.0, 5.354716761891785e-05)	(93.0, 2.9207545973955194e-05)	(94.0, 7.3018864934887985e-06)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 2.433962164496266e-06)	(98.0, 4.867924328992532e-06)	(99.0, 7.3018864934887985e-06)	(100.0, 9.735848657985064e-06)
SRR2554362_1_muscle_rep1	(0.0, 0.000835753079756927)	(1.0, 0.0006500301731442765)	(2.0, 0.0004643072665316261)	(3.0, 0.0005380501853337079)	(4.0, 0.0006254492002102492)	(5.0, 0.0008876462448398734)	(6.0, 0.0012754793733545258)	(7.0, 0.0017752924896797468)	(8.0, 0.002275105606004968)	(9.0, 0.00286231773720673)	(10.0, 0.0036980708169636572)	(11.0, 0.005090992616558536)	(12.0, 0.006524882704376792)	(13.0, 0.008892849763688085)	(14.0, 0.011908115776928763)	(15.0, 0.01674510500650235)	(16.0, 0.0221010258869054)	(17.0, 0.03140628975204217)	(18.0, 0.04209355053991424)	(19.0, 0.0614387762389937)	(20.0, 0.0817508535401449)	(21.0, 0.10293145855163172)	(22.0, 0.12627245796209804)	(23.0, 0.16423640504909573)	(24.0, 0.2080014617485238)	(25.0, 0.25507129369797116)	(26.0, 0.3379637968699408)	(27.0, 0.4112041713364825)	(28.0, 0.49228860738819374)	(29.0, 0.5839237432670326)	(30.0, 0.6968268831722346)	(31.0, 0.8191663854648883)	(32.0, 0.9593161682578523)	(33.0, 1.1110709014948918)	(34.0, 1.2893102674587384)	(35.0, 1.4725149899552585)	(36.0, 1.6652817109231153)	(37.0, 1.8601050399597856)	(38.0, 2.0529099979966507)	(39.0, 2.2947976965443386)	(40.0, 2.530635744531041)	(41.0, 2.6867085353468245)	(42.0, 2.822827038578608)	(43.0, 2.9872710162880356)	(44.0, 3.183899681225749)	(45.0, 3.377996505951258)	(46.0, 3.5197549768617935)	(47.0, 3.6766826392918386)	(48.0, 3.8734205529981485)	(49.0, 4.02371954639365)	(50.0, 4.018609435242588)	(51.0, 3.987694764949226)	(52.0, 3.93719179044666)	(53.0, 3.8166740113703383)	(54.0, 3.6274551441626266)	(55.0, 3.460189817004216)	(56.0, 3.3045321715090954)	(57.0, 3.1336124730411594)	(58.0, 2.9139896735332704)	(59.0, 2.696464450382418)	(60.0, 2.4738045351075697)	(61.0, 2.1895747450714125)	(62.0, 1.9142623857718775)	(63.0, 1.6567575757534376)	(64.0, 1.4046114178346158)	(65.0, 1.165624274093143)	(66.0, 0.9362619468649495)	(67.0, 0.7321633973745063)	(68.0, 0.5911778615017854)	(69.0, 0.4810796837302773)	(70.0, 0.39929059312112397)	(71.0, 0.317061776218373)	(72.0, 0.24751947256879497)	(73.0, 0.19088764214801104)	(74.0, 0.14401172676282106)	(75.0, 0.10160681723240914)	(76.0, 0.08107624239406659)	(77.0, 0.06007589785076263)	(78.0, 0.0402172029392835)	(79.0, 0.028320012039214297)	(80.0, 0.017892217076756957)	(81.0, 0.013230025876936452)	(82.0, 0.009125003396953898)	(83.0, 0.0066914870764851996)	(84.0, 0.00451470536221634)	(85.0, 0.0030234596708853534)	(86.0, 0.0016906246940180975)	(87.0, 0.0010078198902951179)	(88.0, 0.0005544375006230594)	(89.0, 0.00026765948305940796)	(90.0, 9.559267252121713e-05)	(91.0, 5.189316508294645e-05)	(92.0, 3.5505849793594935e-05)	(93.0, 1.9118534504243426e-05)	(94.0, 5.462438429783836e-06)	(95.0, 5.462438429783836e-06)	(96.0, 2.731219214891918e-06)	(97.0, 5.462438429783836e-06)	(98.0, 1.0924876859567672e-05)	(99.0, 1.0924876859567672e-05)	(100.0, 1.0924876859567672e-05)
SRR2554363_1_muscle_rep2	(0.0, 0.00046756199287573044)	(1.0, 0.0003933021469484085)	(2.0, 0.00031904230102108665)	(3.0, 0.00034654594766083546)	(4.0, 0.00047031235753970533)	(5.0, 0.0007040933539775705)	(6.0, 0.0009681283617191594)	(7.0, 0.0013421779560197438)	(8.0, 0.0016254655164091567)	(9.0, 0.0020902771446209122)	(10.0, 0.0027751179459506586)	(11.0, 0.003990779127427558)	(12.0, 0.0053769629180709)	(13.0, 0.007365476570124741)	(14.0, 0.009755543463118917)	(15.0, 0.01361980581600363)	(16.0, 0.018127653500258464)	(17.0, 0.025531635175678857)	(18.0, 0.033700218227684264)	(19.0, 0.04923152748515044)	(20.0, 0.06568970963437615)	(21.0, 0.08363858943147624)	(22.0, 0.10387577262900347)	(23.0, 0.13702866828855673)	(24.0, 0.17528899112911134)	(25.0, 0.21647295160747126)	(26.0, 0.28876078607072314)	(27.0, 0.3537629045391056)	(28.0, 0.4319530215712476)	(29.0, 0.5221292278089922)	(30.0, 0.6274654440745663)	(31.0, 0.7432750489805567)	(32.0, 0.8788377729032149)	(33.0, 1.023916758563226)	(34.0, 1.2028197288608002)	(35.0, 1.3944238831766107)	(36.0, 1.5957533269442363)	(37.0, 1.8008177659255398)	(38.0, 2.007403156566021)	(39.0, 2.253112484551546)	(40.0, 2.5041107637858935)	(41.0, 2.6948595546912077)	(42.0, 2.8677832322093004)	(43.0, 3.0535538630728203)	(44.0, 3.243873597090554)	(45.0, 3.419146086031682)	(46.0, 3.5596732181728146)	(47.0, 3.7258640029934966)	(48.0, 3.896361858877964)	(49.0, 4.030568653021282)	(50.0, 4.047224861426314)	(51.0, 3.995702280176073)	(52.0, 3.89921673739917)	(53.0, 3.787513426936494)	(54.0, 3.6311992016241454)	(55.0, 3.465239447435237)	(56.0, 3.2944280499790763)	(57.0, 3.1219801855478515)	(58.0, 2.9185632150002685)	(59.0, 2.704870882068076)	(60.0, 2.4825121500796987)	(61.0, 2.212770135660362)	(62.0, 1.9482620651965692)	(63.0, 1.701565356296678)	(64.0, 1.4623661414707823)	(65.0, 1.2359836259790096)	(66.0, 1.0125962576063054)	(67.0, 0.8069954975155268)	(68.0, 0.6594521851165941)	(69.0, 0.5419126008369635)	(70.0, 0.4546050249437448)	(71.0, 0.36605153385774536)	(72.0, 0.29049076544436336)	(73.0, 0.2289321035352775)	(74.0, 0.17679344060030558)	(75.0, 0.12775718900629737)	(76.0, 0.1026216063422309)	(77.0, 0.07671042084292351)	(78.0, 0.05251821325860043)	(79.0, 0.03721518426824417)	(80.0, 0.022817025252335647)	(81.0, 0.017057761645972235)	(82.0, 0.01252241031507765)	(83.0, 0.008911181511278626)	(84.0, 0.005767514700355333)	(85.0, 0.0038780141762045873)	(86.0, 0.002073774956637063)	(87.0, 0.0011826568055092004)	(88.0, 0.0006188320493943491)	(89.0, 0.00034654594766083546)	(90.0, 0.00017602333849439262)	(91.0, 9.07620339111712e-05)	(92.0, 4.4005834623598156e-05)	(93.0, 2.4753281975773963e-05)	(94.0, 8.251093991924654e-06)	(95.0, 5.5007293279497695e-06)	(96.0, 2.7503646639748847e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR2554364_1_brain_rep1	(0.0, 0.0008356947793970931)	(1.0, 0.0006318053904478023)	(2.0, 0.0004279160014985115)	(3.0, 0.0005009134370482576)	(4.0, 0.0006670455317476796)	(5.0, 0.0009036579090468567)	(6.0, 0.001185579039445876)	(7.0, 0.0017443869943439324)	(8.0, 0.002303194949241988)	(9.0, 0.002897243045439922)	(10.0, 0.003534082741787707)	(11.0, 0.004581218368984064)	(12.0, 0.005900206514779476)	(13.0, 0.008324224805621045)	(14.0, 0.011624212323059565)	(15.0, 0.016379114245593025)	(16.0, 0.02134797416887574)	(17.0, 0.030434896318344135)	(18.0, 0.04100693870830736)	(19.0, 0.05919588592494409)	(20.0, 0.07800153561432867)	(21.0, 0.1003614052691009)	(22.0, 0.12482813194301579)	(23.0, 0.15997262143079355)	(24.0, 0.20035027190160307)	(25.0, 0.24792697980938758)	(26.0, 0.3278994461835594)	(27.0, 0.3956284806089738)	(28.0, 0.47615723778509367)	(29.0, 0.570386858468016)	(30.0, 0.6824555421075261)	(31.0, 0.7993999510111692)	(32.0, 0.9363985174673928)	(33.0, 1.0845153485037275)	(34.0, 1.2454394537496176)	(35.0, 1.421934667144154)	(36.0, 1.6275055142640387)	(37.0, 1.8242612917530543)	(38.0, 2.012098796340251)	(39.0, 2.242888998866098)	(40.0, 2.4626540714709835)	(41.0, 2.6200717826575364)	(42.0, 2.7815068699522745)	(43.0, 2.9569247418842144)	(44.0, 3.1388821771802315)	(45.0, 3.3258588154585307)	(46.0, 3.4753928036057107)	(47.0, 3.6379304038925455)	(48.0, 3.816044146633926)	(49.0, 3.955371079568891)	(50.0, 3.9668568484797015)	(51.0, 3.9285709521103342)	(52.0, 3.856142393127286)	(53.0, 3.7468576806504665)	(54.0, 3.5827091024756377)	(55.0, 3.422238084760746)	(56.0, 3.2679592633028323)	(57.0, 3.1040372288935023)	(58.0, 2.908049183054234)	(59.0, 2.715149683884605)	(60.0, 2.5058131759515336)	(61.0, 2.2301773764686423)	(62.0, 1.960255514182231)	(63.0, 1.7224575578436083)	(64.0, 1.494033479090753)	(65.0, 1.2686576725603371)	(66.0, 1.0414972045883772)	(67.0, 0.8366714347416896)	(68.0, 0.6901253071461494)	(69.0, 0.5683882390257229)	(70.0, 0.4784025382164859)	(71.0, 0.3923486303151352)	(72.0, 0.3184802598446922)	(73.0, 0.2561228298145591)	(74.0, 0.20490380158813726)	(75.0, 0.15165091377812248)	(76.0, 0.12088375327037951)	(77.0, 0.09181818815683061)	(78.0, 0.06395582215337753)	(79.0, 0.04620989385593926)	(80.0, 0.030656405777943364)	(81.0, 0.024917297051963327)	(82.0, 0.019452557997532337)	(83.0, 0.014096056519950967)	(84.0, 0.009708658928116228)	(85.0, 0.006884413318226053)	(86.0, 0.0039292757549363325)	(87.0, 0.0023661237729917695)	(88.0, 0.0013919855813451579)	(89.0, 0.0008608663088970056)	(90.0, 0.000422881695598529)	(91.0, 0.0002013722359992995)	(92.0, 7.803174144972857e-05)	(93.0, 4.2791600149851145e-05)	(94.0, 2.517152949991244e-05)	(95.0, 1.762007064993871e-05)	(96.0, 1.0068611799964977e-05)	(97.0, 1.0068611799964977e-05)	(98.0, 1.5102917699947465e-05)	(99.0, 1.0068611799964977e-05)	(100.0, 5.0343058999824885e-06)
SRR2554365_1_brain_rep2	(0.0, 0.0006800180107627423)	(1.0, 0.0005528037570486238)	(2.0, 0.00042558950333450535)	(3.0, 0.00046491027266432376)	(4.0, 0.0005782466077914474)	(5.0, 0.0008280491423573529)	(6.0, 0.0011541802291517292)	(7.0, 0.0017231748912185133)	(8.0, 0.0023176124040281214)	(9.0, 0.0030415771569830136)	(10.0, 0.003865000326478035)	(11.0, 0.005204219470123027)	(12.0, 0.006652148976032811)	(13.0, 0.009101601606637384)	(14.0, 0.012281957949490344)	(15.0, 0.017176237237837153)	(16.0, 0.022660328066131243)	(17.0, 0.03152137908392739)	(18.0, 0.04186274141766963)	(19.0, 0.06085236001754077)	(20.0, 0.08048961481813832)	(21.0, 0.10222937428466558)	(22.0, 0.126134089050764)	(23.0, 0.16135855941098784)	(24.0, 0.20180806611921515)	(25.0, 0.24889121791202595)	(26.0, 0.3307061739552223)	(27.0, 0.4008544264396184)	(28.0, 0.4827919707636664)	(29.0, 0.58037455530812)	(30.0, 0.6982582217589156)	(31.0, 0.819514222426351)	(32.0, 0.9534615796415932)	(33.0, 1.0977780550277514)	(34.0, 1.263572922413715)	(35.0, 1.4404099870220644)	(36.0, 1.6340023253377787)	(37.0, 1.8276316714363916)	(38.0, 2.015839377340352)	(39.0, 2.2429908357858506)	(40.0, 2.462507126022071)	(41.0, 2.612541303866071)	(42.0, 2.743944376007031)	(43.0, 2.896821214174934)	(44.0, 3.091165273080777)	(45.0, 3.283441522117158)	(46.0, 3.412260988414505)	(47.0, 3.5592559020879535)	(48.0, 3.7264801950883784)	(49.0, 3.8465935804588174)	(50.0, 3.8592224863729827)	(51.0, 3.8454047054331983)	(52.0, 3.813860196484959)	(53.0, 3.763198854683135)	(54.0, 3.6533366251756223)	(55.0, 3.509739488569556)	(56.0, 3.3468659230461553)	(57.0, 3.1827872915921165)	(58.0, 2.99172998640496)	(59.0, 2.8002817865109364)	(60.0, 2.578480265680724)	(61.0, 2.3016111638973165)	(62.0, 2.0398967492109072)	(63.0, 1.7901659172243682)	(64.0, 1.5471519978339345)	(65.0, 1.3075636113480573)	(66.0, 1.0562992693576552)	(67.0, 0.8309334364370164)	(68.0, 0.6728731956768711)	(69.0, 0.5430383283362418)	(70.0, 0.447208987506612)	(71.0, 0.3582052696353524)	(72.0, 0.2863454071918936)	(73.0, 0.22815066858376232)	(74.0, 0.1809726843472737)	(75.0, 0.1339913039574342)	(76.0, 0.10714678343732405)	(77.0, 0.07951353454418636)	(78.0, 0.05353869692219453)	(79.0, 0.03787052683747748)	(80.0, 0.024598610695448175)	(81.0, 0.01927874190376686)	(82.0, 0.014187858768770954)	(83.0, 0.01001523124694787)	(84.0, 0.006568881464510843)	(85.0, 0.004417804083526659)	(86.0, 0.0025165292371083794)	(87.0, 0.0015959606375043952)	(88.0, 0.001001523124694787)	(89.0, 0.0006684530786069132)	(90.0, 0.00035157393753720004)	(91.0, 0.0001572830773192737)	(92.0, 5.782466077914475e-05)	(93.0, 4.8572715054481584e-05)	(94.0, 3.238181003632106e-05)	(95.0, 2.544285074282369e-05)	(96.0, 1.850389144932632e-05)	(97.0, 6.93895929349737e-06)	(98.0, 0.0)	(99.0, 4.62597286233158e-06)	(100.0, 9.25194572466316e-06)
SRR2554366_1_kidney_rep1	(0.0, 0.0004180253076278769)	(1.0, 0.0003992376533524667)	(2.0, 0.0003804499990770565)	(3.0, 0.000427419134765582)	(4.0, 0.0005284027764959117)	(5.0, 0.000760899998154113)	(6.0, 0.0010591540097762498)	(7.0, 0.0015969506134098667)	(8.0, 0.002181716352732009)	(9.0, 0.0028251935116648083)	(10.0, 0.0035250336334238385)	(11.0, 0.004722746593481238)	(12.0, 0.0061294722073525765)	(13.0, 0.008583609547078035)	(14.0, 0.011700011700011701)	(15.0, 0.016216094096463424)	(16.0, 0.02103747587489057)	(17.0, 0.029012835114802196)	(18.0, 0.03835029928968106)	(19.0, 0.05499381252091007)	(20.0, 0.0725861022930473)	(21.0, 0.09364001736542885)	(22.0, 0.11676996823524323)	(23.0, 0.14952389500763646)	(24.0, 0.18630542516532078)	(25.0, 0.22782379265719288)	(26.0, 0.30093125235638285)	(27.0, 0.3657181296683505)	(28.0, 0.44165078287920523)	(29.0, 0.5293844314318019)	(30.0, 0.6347573388922245)	(31.0, 0.7471897074466324)	(32.0, 0.8749645441736972)	(33.0, 1.0147869642048688)	(34.0, 1.182253069045522)	(35.0, 1.3563441704750416)	(36.0, 1.5453150940906861)	(37.0, 1.737162877267253)	(38.0, 1.9198094067624378)	(39.0, 2.140937749127231)	(40.0, 2.3612605708149665)	(41.0, 2.5195160281471)	(42.0, 2.6725813959856515)	(43.0, 2.843337688781286)	(44.0, 3.027693894815533)	(45.0, 3.205789115062499)	(46.0, 3.3363656607333847)	(47.0, 3.486535381356738)	(48.0, 3.662202297288608)	(49.0, 3.80478415404148)	(50.0, 3.850038916277375)	(51.0, 3.8552125665734662)	(52.0, 3.8229001496765447)	(53.0, 3.7654193214209273)	(54.0, 3.6470617963994116)	(55.0, 3.504085398906756)	(56.0, 3.3499820131694884)	(57.0, 3.199563356126985)	(58.0, 3.0176166667535598)	(59.0, 2.842971329522915)	(60.0, 2.6587607278093026)	(61.0, 2.3986667904773085)	(62.0, 2.1395756441922638)	(63.0, 1.901883636126912)	(64.0, 1.6573341342510353)	(65.0, 1.4193978866801027)	(66.0, 1.1812033088628833)	(67.0, 0.958412259094716)	(68.0, 0.7979398585580841)	(69.0, 0.6686502672050645)	(70.0, 0.5651866551103805)	(71.0, 0.46213167449618675)	(72.0, 0.3751072598924867)	(73.0, 0.30178374216912957)	(74.0, 0.23880517658117018)	(75.0, 0.17393140636817875)	(76.0, 0.13757259843169115)	(77.0, 0.10433723801849054)	(78.0, 0.0733728353158301)	(79.0, 0.05322542456223709)	(80.0, 0.03443307337325804)	(81.0, 0.025558255184911147)	(82.0, 0.01809251106722002)	(83.0, 0.01330165922699042)	(84.0, 0.0093045857798969)	(85.0, 0.006338484861166515)	(86.0, 0.00337238394243613)	(87.0, 0.002087778081354958)	(88.0, 0.0012165006143328102)	(89.0, 0.000641128702148373)	(90.0, 0.0003146932091131208)	(91.0, 0.00018787654275410196)	(92.0, 0.00010802901208360863)	(93.0, 7.749907388606706e-05)	(94.0, 3.992376533524667e-05)	(95.0, 1.4090740706557647e-05)	(96.0, 4.696913568852549e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 2.3484567844262744e-06)	(100.0, 4.696913568852549e-06)
SRR2554367_1_kidney_rep2	(0.0, 0.0009570840181608235)	(1.0, 0.0006869393356154299)	(2.0, 0.0004167946530700361)	(3.0, 0.0004862604285817088)	(4.0, 0.0006277647861054864)	(5.0, 0.0009493655986595267)	(6.0, 0.001376451477731292)	(7.0, 0.001957905746828997)	(8.0, 0.0025162047574228104)	(9.0, 0.003336930031060721)	(10.0, 0.0044097903417409995)	(11.0, 0.005953474242000392)	(12.0, 0.007548614272268431)	(13.0, 0.010275789162726692)	(14.0, 0.013713058647304275)	(15.0, 0.01872488571014644)	(16.0, 0.02466549591964467)	(17.0, 0.03571827264550192)	(18.0, 0.04833531572362203)	(19.0, 0.07038684023882746)	(20.0, 0.09260816998306141)	(21.0, 0.11543410925489697)	(22.0, 0.1408199909946627)	(23.0, 0.17958189373017605)	(24.0, 0.2233350410765281)	(25.0, 0.27270719781982433)	(26.0, 0.3585180130287436)	(27.0, 0.4302401398412954)	(28.0, 0.5139978554628696)	(29.0, 0.6132747398950515)	(30.0, 0.731484907363915)	(31.0, 0.8553089386167217)	(32.0, 0.9892029345122207)	(33.0, 1.1335039327019685)	(34.0, 1.301670283989726)	(35.0, 1.474609191335786)	(36.0, 1.6658330344804184)	(37.0, 1.8638259315276877)	(38.0, 2.044730247799086)	(39.0, 2.257470471706834)	(40.0, 2.4698299202525176)	(41.0, 2.6119543241428995)	(42.0, 2.736725148187866)	(43.0, 2.8884384019053586)	(44.0, 3.074689010084655)	(45.0, 3.257347980389348)	(46.0, 3.3789774076972865)	(47.0, 3.508917000001621)	(48.0, 3.6687320213889754)	(49.0, 3.7980747225852096)	(50.0, 3.8124104004056183)	(51.0, 3.796785746528493)	(52.0, 3.7561354038216623)	(53.0, 3.6750945718645442)	(54.0, 3.541691982010628)	(55.0, 3.402570043306251)	(56.0, 3.266558627660896)	(57.0, 3.1278817844810938)	(58.0, 2.946149024516556)	(59.0, 2.763793645378914)	(60.0, 2.572582666266784)	(61.0, 2.3182890445705535)	(62.0, 2.053624439871081)	(63.0, 1.8105997106467442)	(64.0, 1.5760060683243242)	(65.0, 1.3388602019534754)	(66.0, 1.089838260776631)	(67.0, 0.866230502211057)	(68.0, 0.7149005966621282)	(69.0, 0.589406813990541)	(70.0, 0.48830323694305205)	(71.0, 0.3902715908570793)	(72.0, 0.30818619946078607)	(73.0, 0.24138327867706086)	(74.0, 0.1872282746494609)	(75.0, 0.13185118753415562)	(76.0, 0.10103411127197727)	(77.0, 0.07478633935456673)	(78.0, 0.05078205470553317)	(79.0, 0.035677107741495004)	(80.0, 0.022133854323219262)	(81.0, 0.016131496757710657)	(82.0, 0.010499623328264304)	(83.0, 0.007034052972181967)	(84.0, 0.004391780696237973)	(85.0, 0.0027297476969586933)	(86.0, 0.0014098979622369123)	(87.0, 0.0008567445646439631)	(88.0, 0.0004656779765782502)	(89.0, 0.00025470784354279986)	(90.0, 0.00013378593802248072)	(91.0, 7.2038582012105e-05)	(92.0, 3.0873678005187855e-05)	(93.0, 1.5436839002593928e-05)	(94.0, 7.718419501296964e-06)	(95.0, 1.0291226001729286e-05)	(96.0, 1.0291226001729286e-05)	(97.0, 5.145613000864643e-06)	(98.0, 0.0)	(99.0, 2.5728065004323214e-06)	(100.0, 5.145613000864643e-06)
