Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR2554344_1_liver_rep1	(1, 31.96837425267355)	(2, 32.329666000096445)	(3, 32.50956454735641)	(4, 35.944140329618804)	(5, 35.74809109200208)	(6, 35.74196640096199)	(7, 35.67795026579017)	(8, 35.66708985667543)	(9, 37.511065869381646)	(10, 37.5098890258054)	(11, 37.49890895724682)	(12, 37.45058026493858)	(13, 37.47893980963247)	(14, 38.665064752047165)	(15, 38.71220531457224)	(16, 38.65149219045782)	(17, 38.63189164010133)	(18, 38.55671601133135)	(19, 38.61824238360586)	(20, 38.66299334832005)	(21, 38.502286995929786)	(22, 38.399249569841615)	(23, 38.31033824249134)	(24, 38.17510396135603)	(25, 38.16749539061049)	(26, 37.981956304936894)	(27, 37.98701380816116)	(28, 37.80858028751099)	(29, 37.763758527498844)	(30, 37.71702632046056)	(31, 37.65927774944826)	(32, 37.6411780081076)	(33, 37.52674266730006)	(34, 37.484987292757026)	(35, 37.42759090270161)	(36, 37.36795881765696)	(37, 37.34169779393283)	(38, 37.26197186031633)	(39, 37.132672345514464)	(40, 37.1168022380069)	(41, 37.080922262140994)	(42, 36.977300601342925)	(43, 36.96675131225531)	(44, 36.87908562964397)	(45, 36.776025936804444)	(46, 36.63630237347593)	(47, 36.49986408342454)	(48, 36.317540715526974)	(49, 36.35339155904638)	(50, 36.444294497157806)	(51, 36.801652215295775)
SRR2554345_1_liver_rep2	(1, 31.994492839947384)	(2, 32.35174357828903)	(3, 32.53373628173628)	(4, 35.95972531208895)	(5, 35.764873501600775)	(6, 35.76286719777629)	(7, 35.69963795200159)	(8, 35.68747047874321)	(9, 37.53527947782493)	(10, 37.53112481076118)	(11, 37.52624217606036)	(12, 37.47317132008041)	(13, 37.50414821433003)	(14, 38.69771960390142)	(15, 38.74793279229643)	(16, 38.6908343384707)	(17, 38.66831032685578)	(18, 38.597911101183826)	(19, 38.65814449159904)	(20, 38.70440811058993)	(21, 38.54734221825131)	(22, 38.448052515325244)	(23, 38.35587441987442)	(24, 38.22338043828953)	(25, 38.21411947484675)	(26, 38.029339587521406)	(27, 38.04151063460154)	(28, 37.864551857642766)	(29, 37.82442875933785)	(30, 37.77451934579207)	(31, 37.71932702950885)	(32, 37.70489802198893)	(33, 37.590913260367806)	(34, 37.556109398654854)	(35, 37.50331174149356)	(36, 37.44099818827092)	(37, 37.41475929183282)	(38, 37.33475990966984)	(39, 37.21184322169159)	(40, 37.193562218401176)	(41, 37.167240712699844)	(42, 37.06224694244064)	(43, 37.05394264877425)	(44, 36.9601827712945)	(45, 36.87071343310318)	(46, 36.73177016183674)	(47, 36.586145273542776)	(48, 36.40321756829498)	(49, 36.4370226749667)	(50, 36.5260805691562)	(51, 36.88637400487229)
SRR2554362_1_muscle_rep1	(1, 31.93064681954814)	(2, 32.28924456927395)	(3, 32.473365277185614)	(4, 35.90833374379378)	(5, 35.707833212349655)	(6, 35.705106677742044)	(7, 35.63953066206416)	(8, 35.62760944194243)	(9, 37.4703429881803)	(10, 37.464307102273295)	(11, 37.4549009089043)	(12, 37.40567407152175)	(13, 37.43741930551875)	(14, 38.610224231757336)	(15, 38.661997186878665)	(16, 38.60335256665562)	(17, 38.58168749837023)	(18, 38.51206597707825)	(19, 38.57257070747706)	(20, 38.61966207329851)	(21, 38.46236363705252)	(22, 38.35855016603032)	(23, 38.26119147344752)	(24, 38.12860881098486)	(25, 38.12173915175321)	(26, 37.92703814785982)	(27, 37.940858258311934)	(28, 37.76115547922353)	(29, 37.7165039200273)	(30, 37.67137774968569)	(31, 37.610946456418795)	(32, 37.59807478819684)	(33, 37.484942824902475)	(34, 37.45242900835802)	(35, 37.39808341343812)	(36, 37.33562964595725)	(37, 37.314618071518645)	(38, 37.23527286422159)	(39, 37.11230883887982)	(40, 37.09848963746819)	(41, 37.06708053732759)	(42, 36.964155891669854)	(43, 36.96040248459011)	(44, 36.86694680750035)	(45, 36.77339550192637)	(46, 36.634971273102295)	(47, 36.50511048723327)	(48, 36.325896508296154)	(49, 36.36008728428035)	(50, 36.45877452779088)	(51, 36.82235236574327)
SRR2554363_1_muscle_rep2	(1, 31.945601752894245)	(2, 32.30522490935608)	(3, 32.48765297038513)	(4, 35.92506709232339)	(5, 35.726928128688)	(6, 35.726118240921075)	(7, 35.660146161291316)	(8, 35.650631045967025)	(9, 37.493637141107406)	(10, 37.49166919686466)	(11, 37.47950573283398)	(12, 37.43269033765071)	(13, 37.46378821019741)	(14, 38.648794155882186)	(15, 38.69943682617349)	(16, 38.64214944078697)	(17, 38.62048791642515)	(18, 38.54597981272271)	(19, 38.6079824549002)	(20, 38.65363496883985)	(21, 38.49345447315443)	(22, 38.39064349611202)	(23, 38.297640037763344)	(24, 38.16341208027606)	(25, 38.1540972489174)	(26, 37.96976116052945)	(27, 37.975581737962145)	(28, 37.794334061985474)	(29, 37.751772653350756)	(30, 37.703600712988475)	(31, 37.64793882553482)	(32, 37.62749516232875)	(33, 37.5131909151642)	(34, 37.47437790229419)	(35, 37.4192373141707)	(36, 37.357003980770045)	(37, 37.332010318928376)	(38, 37.249613793387304)	(39, 37.12265159369171)	(40, 37.107909715199185)	(41, 37.078313849503466)	(42, 36.974263133890545)	(43, 36.9649759748127)	(44, 36.874134978556086)	(45, 36.77343125464665)	(46, 36.636588994091035)	(47, 36.50340968229464)	(48, 36.32416537656001)	(49, 36.3540699977671)	(50, 36.4603579255981)	(51, 36.81925957184123)
SRR2554364_1_brain_rep1	(1, 31.920323224864827)	(2, 32.28782369918696)	(3, 32.47151592942087)	(4, 35.90832492831781)	(5, 35.702568505667635)	(6, 35.69857444639831)	(7, 35.6320791037899)	(8, 35.62043613817188)	(9, 37.45928334648841)	(10, 37.457804118512364)	(11, 37.44785752184551)	(12, 37.39715515549142)	(13, 37.42953410889451)	(14, 38.605811000495265)	(15, 38.65410921071976)	(16, 38.59426875132954)	(17, 38.57614020058693)	(18, 38.501226256173375)	(19, 38.55883052285493)	(20, 38.60487406028778)	(21, 38.44376613413912)	(22, 38.33867349553645)	(23, 38.24427548629312)	(24, 38.10897417470003)	(25, 38.09768079065187)	(26, 37.905643160274884)	(27, 37.91443341708233)	(28, 37.72967909541226)	(29, 37.688169030337725)	(30, 37.63697355376924)	(31, 37.578878538217225)	(32, 37.56327292947097)	(33, 37.44663301101331)	(34, 37.4083489524257)	(35, 37.35170606072802)	(36, 37.28888907597121)	(37, 37.26157054110679)	(38, 37.17398647831606)	(39, 37.046584135415195)	(40, 37.02872904897173)	(41, 36.998868265879004)	(42, 36.8936587105714)	(43, 36.88235919248222)	(44, 36.790416447168944)	(45, 36.688588942038535)	(46, 36.55038605040184)	(47, 36.41796752046152)	(48, 36.23470863393731)	(49, 36.26947722880193)	(50, 36.36722906776999)	(51, 36.7354918087289)
SRR2554365_1_brain_rep2	(1, 31.877583847345655)	(2, 32.241780505587684)	(3, 32.430762488465746)	(4, 35.87601382996854)	(5, 35.668995851349166)	(6, 35.66444396169448)	(7, 35.59679968231613)	(8, 35.58553107769986)	(9, 37.418606154483214)	(10, 37.414263386575705)	(11, 37.40605281003573)	(12, 37.35390892521425)	(13, 37.38789205845066)	(14, 38.552228816939014)	(15, 38.602592335838956)	(16, 38.546351608774735)	(17, 38.52552804656696)	(18, 38.44935299656554)	(19, 38.509078016567045)	(20, 38.55582880629419)	(21, 38.39407804204668)	(22, 38.28420938296062)	(23, 38.18800309303898)	(24, 38.046866203037965)	(25, 38.041751685289135)	(26, 37.84527293313445)	(27, 37.85649633499039)	(28, 37.66725417672562)	(29, 37.62404231959805)	(30, 37.5767504179132)	(31, 37.522746708455784)	(32, 37.5074124033732)	(33, 37.38936279961928)	(34, 37.35365186400519)	(35, 37.298817235331235)	(36, 37.23627152533742)	(37, 37.209056197280894)	(38, 37.1233566341749)	(39, 36.99173054464481)	(40, 36.97878489090553)	(41, 36.95014558431693)	(42, 36.844971608317174)	(43, 36.8374038429948)	(44, 36.742313384275405)	(45, 36.64002397101371)	(46, 36.507413895324994)	(47, 36.36983555194353)	(48, 36.184941625853824)	(49, 36.219808468737774)	(50, 36.32395747705165)	(51, 36.697864107361774)
SRR2554366_1_kidney_rep1	(1, 31.948458393679548)	(2, 32.30731693065741)	(3, 32.48991384859422)	(4, 35.92503860241998)	(5, 35.72087203154096)	(6, 35.718298792309405)	(7, 35.652370935730325)	(8, 35.64050054790532)	(9, 37.48138127696422)	(10, 37.479002199284274)	(11, 37.46838442646191)	(12, 37.419264427534735)	(13, 37.448050338321956)	(14, 38.63067599255155)	(15, 38.67963334406155)	(16, 38.618700238319654)	(17, 38.59988380958949)	(18, 38.52718472455305)	(19, 38.57782650175866)	(20, 38.62288960665762)	(21, 38.46225947722936)	(22, 38.35768580886917)	(23, 38.26456163743228)	(24, 38.12712840141919)	(25, 38.1156202824586)	(26, 37.9238605102033)	(27, 37.930173777941256)	(28, 37.75240551506931)	(29, 37.706446029410635)	(30, 37.6505983854035)	(31, 37.59483436400837)	(32, 37.57547970451428)	(33, 37.45793849667042)	(34, 37.42076656934642)	(35, 37.36453328429006)	(36, 37.29934749457842)	(37, 37.271321139899015)	(38, 37.18611776076921)	(39, 37.05321576383495)	(40, 37.033621576430974)	(41, 37.0053656807145)	(42, 36.894745154706634)	(43, 36.88462973436237)	(44, 36.79279202921722)	(45, 36.68868365060326)	(46, 36.5457228649847)	(47, 36.40469454828473)	(48, 36.2214848988744)	(49, 36.261411970377885)	(50, 36.35368848717115)	(51, 36.72368877931812)
SRR2554367_1_kidney_rep2	(1, 31.92695577685112)	(2, 32.285983863363775)	(3, 32.46966488289625)	(4, 35.90578856380243)	(5, 35.706867096299675)	(6, 35.70090506722619)	(7, 35.63607021817078)	(8, 35.624655283952826)	(9, 37.462977842876235)	(10, 37.45853489435285)	(11, 37.448977197209274)	(12, 37.39982884368101)	(13, 37.42956699172514)	(14, 38.60584635057533)	(15, 38.655789403421366)	(16, 38.59827592648801)	(17, 38.57822907994977)	(18, 38.503622221018766)	(19, 38.560352858251754)	(20, 38.607927241142335)	(21, 38.449213340033495)	(22, 38.34378365035245)	(23, 38.24734753884602)	(24, 38.110694625137434)	(25, 38.10552404185836)	(26, 37.91286865043431)	(27, 37.92122159936491)	(28, 37.73859041835273)	(29, 37.69428551157772)	(30, 37.64353978303407)	(31, 37.59061261955649)	(32, 37.57708677839476)	(33, 37.463663181828295)	(34, 37.42405573306499)	(35, 37.37258709262214)	(36, 37.30376888145546)	(37, 37.27884480029448)	(38, 37.19964923761258)	(39, 37.071194256238776)	(40, 37.058062128460335)	(41, 37.02712687822073)	(42, 36.922855656430116)	(43, 36.91401118947858)	(44, 36.82265295303)	(45, 36.72690267824496)	(46, 36.586667080604634)	(47, 36.44976002419316)	(48, 36.26513154463955)	(49, 36.304256748681276)	(50, 36.39925352229035)	(51, 36.76962271752938)
